card_no,term,definition,sg_chapter,sg_chapter_title,domain,domain_title,confidence,placed_in,reason
575,What is context‐aware authentication?,"An authentication method often used by mobile device management (MDM) systems to identify mobile device users. It includes multiple elements such as the location of the user, the time of day, and the mobile device.",13,Managing Identity and Authentication,D5,Identity and Access Management,HIGH,Ch 13,Context-aware authentication MDM identity
576,What is Control Objectives for Information and Related Technology (COBIT)?,COBIT a documented set of best IT security practices crafted by the Information Systems Audit and Control Association (ISACA). It prescribes goals and requirements for security controls and encourages the mapping of IT security ideals to business objectives. COBIT is based on six key principles.,1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,COBIT governance principles section
577,What is CORBA?,Common Object Request Broker Architecture (CORBA) is an international standard (sanctioned by the International Organization for Standardization) for distributed computing.,9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,MEDIUM,Ch 9,CORBA distributed computing standard
578,What is CPTED?,"Crime Prevention Through Environmental Design (CPTED) is based on the idea to structure the physical environment and surroundings to influence individual decisions that potential offenders make before committing any criminal acts. First‐generation CPTED addresses facility design, landscaping, entrance concepts, campus layouts, lighting, road placement, and traffic management of vehicles and those on foot, whereas second‐generation CPTED addresses social cohesion. community culture, connectivity, and threshold capacity.",10,Physical Security Requirements,D3,Security Architecture and Engineering,HIGH,Ch 10,CPTED facility design physical security
579,What is credential management?,"The storage of credentials in a central location is referred to as credential management. Given the wide range of Internet sites and services, each with its own particular logon requirements, it can be a burden to use unique names and passwords. Credential management solutions offer a means to securely store a plethora of credential sets.",13,Managing Identity and Authentication,D5,Identity and Access Management,HIGH,Ch 13,Credential management identity management
580,What is critical path analysis?,"A systematic effort to identify relationships between mission‐critical applications, processes, and operations and all of the necessary supporting elements",3,Business Continuity Planning,D1,Security and Risk Management,HIGH,Ch 3,Critical path analysis BCP planning
581,What is cross‐training?,"Cross‐training is often discussed as an alternative to job rotation. In both cases, workers learn the responsibilities and tasks of multiple job positions. However, in cross‐training the workers are just prepared to perform the other job positions; they are not rotated through them on a regular basis. Cross‐training enables existing personnel to fill the work gap when the proper employee is unavailable as a type of emergency response procedure.",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Cross-training job rotation personnel
582,What is CVE?,"Vulnerabilities are commonly referred to using the Common Vulnerability and Exposures (CVE) dictionary. The CVE dictionary provides a standard convention used to identify vulnerabilities. MITRE maintains the CVE database, and you can view it at cve.mitre.org . An additional CVE database maintained by NIST is the National Vulnerability Database (NVD) at nvd.nist.gov .",15,Security Assessment and Testing,D6,Security Assessment and Testing,MEDIUM,Ch 15,CVE vulnerability identification scanning
583,What is cybersecurity insurance (aka cyber insurance or cyber‐risk insurance)?,"Cybersecurity insurance is a type of insurance policy that provides coverage and financial protection to organizations or individuals in the event of cyber‐related incidents, data breaches, or cyberattacks. This form of insurance is designed to help mitigate the financial and legal consequences of cybersecurity breaches, which can result in data loss, financial loss, legal liabilities, and reputational damage.",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Cyber insurance risk transfer
584,What is data analytics?,"Data analytics is the science of raw data examination with the focus of extracting useful information out of the bulk information set. The results of data analytics could focus on important outliers or exceptions to normal or standard items, a summary of all data items, or some focused extraction and organization of interesting information.",20,Software Development Security,D8,Software Development Security,MEDIUM,Ch 20,Data analytics knowledge/data examination
585,What is data classification?,"Data classification is the primary means by which data is protected based on categories of secrecy, sensitivity, or confidentiality.",5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,Data classification asset protection
586,What is data hiding?,Data hiding is preventing data from being known by a subject. Keeping a database from being accessed by unauthorized visitors is a form of data hiding.,1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,Data hiding security concept Ch1
587,What is data localization?,"Data localization refers to storing and processing data within a specific country's or region's physical borders or geographical boundaries. This concept is often driven by regulatory requirements or government policies that mandate certain data, especially sensitive or personal information, to be kept within the jurisdiction's borders where it was generated or where the data subject resides.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,Data localization named Ch9 section
588,What is data portability?,"Data portability refers to the ability of individuals to easily and securely move their personal data from one system, service, or application to another. It allows users to transfer their data between different platforms, promoting user control and facilitating competition among service providers.",4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,MEDIUM,Ch 4,Data portability privacy law right
589,What is data remanence?,"Data remanence is the data that remains on a storage device as residual and potentially recoverable data. Using system tools to delete data generally leaves much of the data remaining on the media, and widely available tools can easily undelete it. Even when you use sophisticated tools to overwrite the media, traces of the original data may remain.",5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,Data remanence destruction asset handling
590,What is data sovereignty?,"Data sovereignty is the concept that digital data is subject to the laws and regulations of the country or region in which it is located or originates. It emphasizes that governments have authority over the data collected within their jurisdiction, and organizations must comply with local data protection and privacy laws.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,Data sovereignty named Ch9 section
591,What is DDoS?,A distributed denial‐of‐service (DDoS) attack occurs when multiple systems attack a single system at the same time.,12,Secure Communications and Network Attacks,D4,Communication and Network Security,HIGH,Ch 12,DDoS network attack
592,What is defense in breadth or diversity of defense?,"Defense in breadth or diversity of defense is also an important related concept to defense in depth. It can be problematic if elements of several security layers are from the same vendor or share common code, since a vulnerability could affect numerous layers simultaneously. By using a range of security products from varied vendors, the risk of a single exploit compromising several layers at once is significantly reduced or avoided.",1,Security Governance Through Principles and Policies,D1,Security and Risk Management,MEDIUM,Ch 1,Defense in breadth security concept
593,What is degaussing?,"A degausser creates a strong magnetic field that erases data on some media in a process called degaussing. Technicians commonly use degaussing methods to remove data from magnetic tapes with the goal of returning the tape to its original state. While it is possible to degauss hard disks, it is not recommended. Degaussing a hard disk will normally destroy the electronics used to access the data.",5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,Degaussing data destruction asset handling
594,What is dense wavelength division multiplexing (DWDM)?,"An optical communication technology used in fiber‐optic communication systems to increase the capacity and efficiency of the network. DWDM enables multiple data streams or channels to be simultaneously transmitted over a single optical fiber, each using a different wavelength of light.",12,Secure Communications and Network Attacks,D4,Communication and Network Security,MEDIUM,Ch 12,DWDM fiber-optic multiplexing WAN
595,What is DevOps?,"The word DevOps is a combination of Development and Operations, symbolizing that these functions must merge and cooperate to meet business requirements. The DevOps approach seeks to resolve these issues by bringing the three functions (software development, quality assurance, and technology operations) together in a single operational model.",20,Software Development Security,D8,Software Development Security,HIGH,Ch 20,DevOps SDLC development section
596,What is DevSecOps?,DevSecOps approaches expand on the DevOps model by introducing security operations activities into the integrated model. Continuous integration and delivery (CI/CD) techniques automate the DevOps and DevSecOps pipelines.,20,Software Development Security,D8,Software Development Security,HIGH,Ch 20,DevSecOps secure development section
597,What is disinformation?,"Intentionally false or misleading information spread with the purpose of deceiving or manipulating people; often used as a tool for political, ideological, or malicious agendas",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,MEDIUM,Ch 2,Disinformation social engineering tool
598,What is DLP?,Data loss prevention (DLP) systems attempt to detect and block data exfiltration attempts. These systems have the capability of scanning data looking for keywords and data patterns.,5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,DLP data protection method
599,What is DNP3?,"DNP3 (Distributed Network Protocol) is a multilayer protocol primarily used in the electric and water utility and management industries. It is used to support communications between data acquisition systems and the system control equipment. DNP3 is an open and public standard. DNP3 is a multilayer protocol that functions similarly to TCP/IP, in that it has link, transport, and transportation layers.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,MEDIUM,Ch 9,DNP3 ICS multilayer protocol
600,What is DNS pharming?,DNS pharming is the malicious redirection of a valid website's URL or IP address to a fake website that hosts a false version of the original valid site. This is often part of a phishing attack where the attacker is attempting to trick victims into giving up their logon credentials.,11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,DNS pharming; consolidated to DNS section
601,What is DNS poisoning?,DNS poisoning is the act of falsifying the DNS information used by a client to reach a desired system. It can take place in many ways.,11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,DNS poisoning; consolidated to DNS section
602,What is DNS?,The Domain Name System (DNS) is the hierarchical naming scheme used in both public and private networks. DNS links human‐friendly fully qualified domain names (FQDNs) and IP addresses together. DNSSEC and DoH are DNS security features.,11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,DNS is a named Ch11 section
603,What is DNSSEC?,"DNSSEC (Domain Name System Security Extensions) is a security improvement to the existing DNS infrastructure. The primary function of DNSSEC is to provide reliable authentication between devices during DNS operations. DNSSEC has been implemented across a significant portion of the DNS system. Each DNS server is issued a digital certificate, which is then used to perform mutual certificate authentication.",11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,DNSSEC is a named Ch11 section
604,What is documentation review?,Documentation review is the process of not just reading the exchange materials but verifying it against standards and expectations. The documentation review is typically performed before any on‐site inspection is performed.,15,Security Assessment and Testing,D6,Security Assessment and Testing,MEDIUM,Ch 15,Documentation review part of security assessment
605,What is domain hijacking?,"Domain hijacking, or domain theft, is the malicious action of changing the registration of a domain name without the authorization of the valid owner. This may be accomplished by stealing the owner's logon credentials; using XSRF, session hijacking, or an adversary‐in‐the‐middle (AiTM)/man‐in‐the‐middle (MitM)/on‐path attack; or exploiting a flaw in the domain registrar's systems.",12,Secure Communications and Network Attacks,D4,Communication and Network Security,MEDIUM,Ch 12,Domain hijacking network attack with hijacking
606,What is doxing?,"Doxing, short for document tracing or dropping documents, involves researching and publishing private or personally identifiable information about an individual, such as their real name, address, contact details, or other sensitive data, often with malicious intent, such as harassment or public shaming. Doxing can also refer to the release of false and fabricated information. Doxing can also be used against organizations.",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,MEDIUM,Ch 2,Doxing relates to social engineering/threat actors
607,What is DRDoS?,"A distributed reflective denial‐of‐service (DRDoS) attack is a variant of a DoS. It uses a reflected approach to an attack. In other words, it doesn't attack the victim directly but instead manipulates traffic or a network service so that the attacks are reflected back to the victim from other sources.",12,Secure Communications and Network Attacks,D4,Communication and Network Security,HIGH,Ch 12,DRDoS is a DoS network attack
608,What is DREAD?,DREAD is a threat rating system designed to provide a flexible rating solution that is based on asking five main questions of each threat: Damage potential: How severe is the damage likely to be if the threat is realized? Reproducibility: How complicated is it for attackers to reproduce the exploit? Exploitability: How hard is it to perform the attack? Affected users: How many users are likely to be affected by the attack (as a percentage)? Discoverability: How hard is it for an attacker to discover the weakness?,1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,DREAD is a threat modeling system
609,What is DRM?,"Digital rights management (DRM) software uses encryption to enforce copyright restrictions on digital media. The purpose is to prevent the unauthorized use, modification, and distribution of copyrighted works.",4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,HIGH,Ch 4,DRM enforces copyright intellectual property
610,What is dynamic testing?,"Dynamic testing evaluates the security of software in a runtime environment and is often the only option for organizations deploying applications written by someone else. In those cases, testers often do not have access to the underlying source code.",15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,Dynamic testing is software testing
611,What is edge computing?,"Edge computing is a philosophy of network design where data and the compute resources are located as close as possible in order to optimize bandwidth use while minimizing latency. In edge computing, the intelligence and processing are contained within each device. Thus, rather than having to send data off to a master processing entity, each device can process its own data locally.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,Edge computing is named Ch9 architecture section
612,What is EDR?,"Endpoint detection and response (EDR) is a security mechanism that is an evolution of traditional antimalware products, IDS, and firewall solutions. EDR seeks to detect, record, evaluate, and respond to suspicious activities and events.",17,Preventing and Responding to Incidents,D7,Security Operations,MEDIUM,Ch 17,EDR is detection and response tool
613,What is egress monitoring?,"Egress monitoring refers to monitoring outgoing traffic to prevent data exfiltration, which is the unauthorized transfer of data. Some common methods used to prevent data exfiltration are data loss prevention techniques, looking for steganography attempts, and watermarking.",5,Protecting Security of Assets,D2,Asset Security,MEDIUM,Ch 5,Egress monitoring DLP data exfiltration prevention
614,What is electronic discovery?,"In legal proceedings, each side has a duty to preserve evidence related to the case and, through the discovery process, share information with their adversary in the proceedings. This discovery process applies to both paper records and electronic records, and the electronic discovery (or eDiscovery) process facilitates the processing of electronic information for disclosure.",19,Investigations and Ethics,D7,Security Operations,HIGH,Ch 19,eDiscovery is named Ch19 investigations topic
615,What is emission security (EMSEC)?,"Emission security (EMSEC) involves implementing various measures to prevent unauthorized individuals from obtaining valuable information that could be derived through intercepting and analyzing compromising emanations from cryptographic equipment, automated information systems (AISs), and telecommunications systems. EMSEC has mostly replaced TEMPEST.",10,Physical Security Requirements,D3,Security Architecture and Engineering,HIGH,Ch 10,EMSEC emanations replaces TEMPEST physical security
616,What is encapsulation?,"Encapsulation is the addition of a header, and possibly a footer, to the data received by each layer from the layer above before it's handed off to the layer below. The inverse action is deencapsulation.",11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,Encapsulation header layering OSI model concept
617,What is endpoint security?,The concept that each individual device must maintain local security whether or not its network or telecommunications channels provide or offer security. Sometimes this is expressed as the end device is responsible for its own security.,9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,MEDIUM,Ch 9,Endpoint security device-level client-based system
618,What is entitlement?,"Entitlement refers to the amount of privileges granted to users, typically when first provisioning an account.",13,Managing Identity and Authentication,D5,Identity and Access Management,MEDIUM,Ch 13,Entitlement privileges at account provisioning
619,What is EPP?,"Endpoint protection platform (EPP) is a variation of EDR much like IPS is a variation of IDS. The focus on EPP is on four main security functions: predict, prevent, detect, and respond. Thus, EPP is the more active prevent and predict variation of the more passive EDR concept.",17,Preventing and Responding to Incidents,D7,Security Operations,MEDIUM,Ch 17,EPP endpoint protection detection prevention tool
620,What is fake news?,"A term used to describe deliberately fabricated news stories or hoaxes presented as genuine journalism. It can also be used to label genuine, factual, and accurate journalism as false. It often serves to misinform or deceive readers/viewers, and it may be politically motivated or created for profit.",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,MEDIUM,Ch 2,Fake news social engineering influence campaign
621,What is false information?,Any information that is factually incorrect or inaccurate; can be created or spread unintentionally or intentionally and may or may not have a specific agenda,2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,MEDIUM,Ch 2,False information social engineering influence
622,What is FCoE?,Fibre Channel over Ethernet (FCoE) can be used to support Fibre Channel communications over the existing network infrastructure. FCoE is used to encapsulate Fibre Channel communications over Ethernet networks. It typically requires 10 Gbps Ethernet in order to support the Fibre Channel protocol.,11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,FCoE converged protocol multilayer Ch11
623,What is FIPS‐186‐5?,"FIPS‐186‐5 is the Digital Signature Standard (DSS). It specifies algorithms for use as digital signatures: Rivest–Shamir–Adleman (RSA), Elliptic Curve Digital Signature Algorithm (ECDSA), and Edwards Curve Digital Signature Algorithm (EdDSA).",7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,HIGH,Ch 7,FIPS-186-5 DSS digital signature standard
624,What is FISMA?,"The Federal Information Security Management Act (FISMA), passed in 2002, requires that federal agencies implement an information security program that covers the agency's operations. The 2014 FISMA modified the rules of the 2002 FISMA by centralizing federal cybersecurity responsibility with the Department of Homeland Security (DHS).",4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,HIGH,Ch 4,FISMA is a compliance law
625,What is flash memory?,"Flash memory is a derivative concept from EEPROM. It is a nonvolatile form of storage media that can be electronically erased and rewritten. The primary difference between EEPROM and flash memory is that EEPROM must be fully erased to be rewritten, while flash memory can be erased and written in blocks or pages.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,Flash memory is hardware memory architecture
626,What is fog computing?,"Fog computing is another example of advanced computation architectures, which is also often used as an element in an IIoT deployment. Fog computing relies on sensors, IoT devices, or even edge computing devices to collect data, and then transfer it back to a central location for processing. Thus, intelligence and processing is centralized.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,Fog computing is named Ch9 architecture section
627,What is fuzz testing?,"Fuzz testing is a specialized dynamic testing technique that provides many different types of input to software to stress its limits and find previously undetected flaws. Fuzz testing software supplies invalid input to the software, either randomly generated or specially crafted to trigger known software vulnerabilities.",15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,Fuzz testing is software testing technique
628,What is gamification as it applies to personnel security management?,"Gamification is a means to encourage compliance and engagement by integrating common elements of game play into other activities, such as security compliance and behavior change.",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Gamification in security awareness training program
629,What is generally involved in the processes of risk management?,"Analyzing an environment for risks, evaluating each risk as to its likelihood and damage, assessing the cost of countermeasures, and creating a cost/benefit report to present to upper management",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Risk management process Ch2 concepts
630,What is geotagging?,Mobile devices with GPS support enable the embedding of geographical location (geotagging) in the form of latitude and longitude as well as date/time information on photos taken with these devices.,9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,MEDIUM,Ch 9,Geotagging mobile device location data
631,What is grid computing?,Grid computing is a form of parallel distributed processing that loosely groups a significant number of processing nodes toward the completion of a specific processing goal.,9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,MEDIUM,Ch 9,Grid computing distributed/HPC architecture
632,What is HITECH?,"In 2009, Congress amended HIPAA by passing the Health Information Technology for Economic and Clinical Health (HITECH) Act. This law updated many of HIPAA's privacy and security requirements and was implemented through the HIPAA Omnibus Rule in 2013.",4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,HIGH,Ch 4,HITECH amends HIPAA privacy law
633,What is IaaS?,"Infrastructure as a service (IaaS) takes the platform as a service (PaaS) model another step forward. It provides not just on‐demand operating solutions but complete outsourcing options as well. This can include utility or metered computing services, administrative task automation, dynamic scaling, virtualization services, policy implementation and management services, and managed/filtered Internet connectivity.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,IaaS cloud architecture model Ch9
634,What is IaC?,"Infrastructure as code (IaC) is a change in how hardware management is perceived and handled. Instead of seeing hardware configuration as a manual, direct hands‐on, one‐on‐one administration hassle, it is viewed as just another collection of elements to be managed in the same way that software and code are managed under DevSecOps (development, security, and operations).",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,IaC is named Ch9 architecture section
635,What is IDaaS?,"Identity as a service, or identity and access as a service (IDaaS), is a third‐party service that provides identity and access management. IDaaS effectively provides SSO for the cloud and is especially useful when internal clients access cloud‐based software‐as‐a‐service (SaaS) applications.",13,Managing Identity and Authentication,D5,Identity and Access Management,HIGH,Ch 13,IDaaS is identity management SSO Ch13
636,What is IIoT?,"Industrial Internet of Things (IIoT) is a derivative of IoT that focuses on industrial, engineering, manufacturing, or infrastructure level oversight, automation, management, and sensing. IIoT is an evolution of ICS and DCS that integrates cloud services to perform data collection, analysis, optimization, and automation.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,IIoT industrial IoT architecture Ch9
637,What is important to know about site selection?,"Site selection should be based on the security needs of the organization. Cost, location, and size are important, but addressing the requirements of security should always take precedence. The key elements in making a site selection are visibility, composition of the surrounding area, and area accessibility.",10,Physical Security Requirements,D3,Security Architecture and Engineering,HIGH,Ch 10,Site selection is physical facility design
638,What is industrial espionage?,"The gathering of a competitor's confidential information, also called industrial espionage, is not a new phenomenon. Businesses have used illegal means to acquire competitive information for many years. The temptation to steal a competitor's trade secrets and the ease with which a savvy attacker can compromise some computer systems makes this type of attack attractive.",4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,MEDIUM,Ch 4,Industrial espionage relates to trade secrets crime
639,What is InfiniBand over Ethernet (IBOE)?,"InfiniBand over Ethernet (IBOE) refers to the encapsulation of InfiniBand traffic within Ethernet frames, allowing InfiniBand protocols to run over Ethernet networks. InfiniBand is a high‐performance and low‐latency interconnect technology commonly used in high‐performance computing (HPC) environments. IBOE provides a way to integrate InfiniBand technology into existing Ethernet infrastructures.",11,Secure Network Architecture and Components,D4,Communication and Network Security,MEDIUM,Ch 11,IBOE encapsulation converged HPC interconnect protocol
640,What is interface testing?,Interface testing assesses the performance of modules against the interface specifications to ensure that they will work together properly when all of the development efforts are complete.,15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,Interface testing is software testing
641,What is iOS?,"iOS is the mobile device OS from Apple that is available on the iPhone. iOS isn't licensed for use on any non‐Apple hardware. Thus, Apple is in full control of the features and capabilities of iOS.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,MEDIUM,Ch 9,iOS is mobile device OS
642,What is IoT?,"The Internet of Things (IoT) is a class of devices that are internet‐connected in order to provide automation, remote control, or AI processing to appliances or devices. The security issues related to IoT often relate to access and encryption.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,IoT is named Ch9 architecture section
643,What is iSCSI?,"Internet Small Computer System Interface (iSCSI) is a networking storage standard based on IP. This technology can be used to enable location‐independent file storage, transmission, and retrieval over LAN, WAN, or public Internet connections. iSCSI is often viewed as a low‐cost alternative to Fibre Channel.",11,Secure Network Architecture and Components,D4,Communication and Network Security,MEDIUM,Ch 11,iSCSI IP networking storage protocol
644,What is it called when a plain‐text message generates identical ciphertext messages using the same algorithm but different keys?,Clustering or key clustering,6,Cryptography and Symmetric Key Algorithms,D3,Security Architecture and Engineering,MEDIUM,Ch 6,Key clustering cryptographic concept symmetric keys
645,What is it called when a user accumulates privileges over time as their job roles and assigned tasks change but unneeded privileges are not revoked?,Privilege creep,16,Managing Security Operations,D7,Security Operations,MEDIUM,Ch 16,Privilege creep operational least privilege
646,"What is it called when a user has more access, privilege, or permission than their assigned work tasks dictate?",Excessive privileges (also known as the violation of least privilege),16,Managing Security Operations,D7,Security Operations,MEDIUM,Ch 16,Excessive privileges violation of least privilege
647,What is it called when an authorized party indicates its intention to fulfill some contractual obligation and forgoes its right to dispute that fulfillment after the fact?,Nonrepudiation,13,Managing Identity and Authentication,D5,Identity and Access Management,MEDIUM,Ch 13,Nonrepudiation accountability AAA concept
648,What is it called when an object is an example of a class because the object contains a method from that class?,Instance,20,Software Development Security,D8,Software Development Security,HIGH,Ch 20,Instance is OOP concept Ch20
649,What is it called when malware is installed on a user's system after visiting a website?,Drive‐by download,21,Malicious Code and Application Attacks,D8,Software Development Security,HIGH,Ch 21,Drive-by download malware installation attack
650,What is it called when programmers decompile vendor code in order to understand the intricate details of its functionality?,Reverse engineering,20,Software Development Security,D8,Software Development Security,MEDIUM,Ch 20,Reverse engineering decompiling code development
651,What is JIT provisioning in relation to IAM?,Just‐in‐time (JIT) provisioning creates user accounts on third‐party sites the first time a user logs onto the site. JIT reduces the administrative workload compared to a manual identity and access management solution.,13,Managing Identity and Authentication,D5,Identity and Access Management,HIGH,Ch 13,JIT provisioning identity management Ch13
652,What is job rotation and why consider implementing it?,"Job rotation is when employees are rotated into different jobs, or tasks are assigned to different employees. It may be implemented as a defense against collusion. Collusion is an agreement among multiple persons to perform some unauthorized or illegal actions.",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Job rotation is personnel security policy
653,What is Kerberos?,"Kerberos is the most common SSO method used within organizations. The primary purpose of Kerberos is authentication. It uses symmetric cryptography and tickets to prove identification and provide authentication. One server synchronizes its time with a Network Time Protocol (NTP) server, and all clients within a network synchronize with the same time.",13,Managing Identity and Authentication,D5,Identity and Access Management,HIGH,Ch 13,Kerberos is SSO identity management Ch13
654,What is layering?,Layering is the use of multiple controls in a series. The use of a multilayered solution allows for numerous controls to be brought to bear against whatever threats occur.,1,Security Governance Through Principles and Policies,D1,Security and Risk Management,MEDIUM,Ch 1,Layering defense-in-depth security concept
655,What is MAC filtering?,A MAC filter is a list of authorized wireless client interface MAC addresses that is used by a WAP to block access to all nonauthorized devices. MAC filters may also be used on switches or other wired network management devices.,11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,MAC filtering wireless network access control
656,What is malicious code?,"Malicious code is any script or program that performs an unwanted, unauthorized, or unknown activity on a computer system.",21,Malicious Code and Application Attacks,D8,Software Development Security,HIGH,Ch 21,Malicious code definition is malware Ch21
657,What is MDM?,"Mobile device management (MDM) is a software solution to the task of managing the myriad mobile devices that employees use to access company resources. The goals of MDM are to improve security, provide monitoring, enable remote management, and support troubleshooting. Many MDM solutions support a wide range of devices and can operate across many service providers. You can use MDM to push or remove apps, manage data, and enforce configuration settings both over the air (across a carrier network) and over Wi‐Fi connections.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,MDM is mobile device management Ch9
658,What is MDR?,"Managed detection and response (MDR) focuses on threat detection and mediation, but is not limited to the scope of endpoints. MDR is a service that attempts to monitor an IT environment in real time in order to quickly detect and resolve threats. Often an MDR solution is a combination and integration of numerous technologies, including SIEM, network traffic analysis (NTA), EDR, and IDS.",17,Preventing and Responding to Incidents,D7,Security Operations,MEDIUM,Ch 17,MDR managed detection and response incident
659,What is Metasploit?,"A penetration testing tool used to automatically execute exploits against targeted systems. Metasploit uses a scripting language to allow the automatic execution of common attacks, saving testers (and bad actors!) quite a bit of time by eliminating many of the tedious, routine steps involved in executing an attack.",15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,Metasploit is penetration testing tool
660,What is micro training?,"Micro training involves delivering short, focused, and bite‐sized learning modules or content to learners. These brief learning units are typically designed to be highly specific, addressing a single learning objective or a small set of related objectives in a concise and easily digestible format. Micro training is characterized by its brevity and effectiveness in conveying information, making it well suited for the fast‐paced and attention‐challenged digital age. Often, micro training is delivered via mobile apps.",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Micro training security awareness training program
661,What is microsegmentation?,"Microsegmentation is dividing up an internal network in numerous subzones, potentially as small as a single device, such as a high‐value server or even a client or endpoint device. Each zone is separated from the others by internal segmentation firewalls (ISFWs), subnets, or VLANs.",11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,Microsegmentation is named Ch11 section
662,What is misinformation?,"Inaccurate or misleading information that is spread without malicious intent; can be the result of errors, misunderstandings, or the unintentional sharing of false information",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,MEDIUM,Ch 2,Misinformation social engineering influence campaign
663,What is misuse case testing?,"In some applications, there are clear examples of ways that software users might attempt to misuse the application. Software testers use a process known as misuse case testing or abuse case testing to evaluate the vulnerability of their software to these known risks.",15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,Misuse case testing is software testing
664,What is Modbus?,"Modbus is a widely used communication protocol in industrial automation and control systems. Developed by Modicon (now part of Schneider Electric) in 1979, Modbus has become a de facto standard for connecting and managing devices within industrial environments. It provides a common language for different devices to exchange data and commands, facilitating communication in supervisory control and data acquisition (SCADA) systems, programmable logic controllers (PLCs), and other industrial applications.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,Modbus is ICS/SCADA industrial protocol
665,What is more secure than a data warehouse and designed to store metadata?,Data mart,20,Software Development Security,D8,Software Development Security,HIGH,Ch 20,Data mart is database/data warehousing Ch20
666,What is MPLS?,"MPLS (multiprotocol label switching) is a high‐throughput, high‐performance network technology that directs data across a network based on short path labels rather than longer network addresses.",12,Secure Communications and Network Attacks,D4,Communication and Network Security,HIGH,Ch 12,MPLS is WAN switching technology Ch12
